workflow,dataset,variable,dims,nan_fraction,min,max,mean
thermal,scope_output,too,y|x|time,0.0,0.0475323386490345,0.9150763154029846,0.5309083234564893
thermal,scope_output,tsstoo,y|x|time,0.0,0.0021270071156322956,0.837723970413208,0.3477443795211757
thermal,scope_output,gammasdf,y|x|time|wavelength,0.0,0.06310946494340897,1.006529688835144,0.39436809406597395
thermal,scope_output,gammasdb,y|x|time|wavelength,0.0,0.14970964193344116,1.8123259544372559,0.5818948143733397
thermal,scope_output,gammaso,y|x|time|wavelength,0.0,0.08211512118577957,1.7339003086090088,0.44301347552928055
thermal,scope_output,Lot_,y|x|time|thermal_wavelength,0.0,0.0025014455895870924,10.22061824798584,5.105420384064478
thermal,scope_output,Eoutte_,y|x|time|thermal_wavelength,0.0,0.007952195592224598,32.203189849853516,16.28139598793149
thermal,scope_output,Emint_,y|x|time|layer|thermal_wavelength,0.0,0.0,31.880102157592773,6.891964380796912
thermal,scope_output,Eplut_,y|x|time|layer|thermal_wavelength,0.0,0.007952195592224598,32.203189849853516,16.246637346891816
thermal,scope_output,LotBB_,y|x|time|thermal_wavelength,0.0,0.0017492063343524933,9.81994342803955,4.858811121294606
thermal,scope_output,Loutt,y|x|time,0.0,115.17965698242188,144.65145874023438,132.64590071957068
thermal,scope_output,Eoutt,y|x|time,0.0,367.7939453125,455.63909912109375,423.22856027675124
